Year,Country,CountryCode,Internal Tourists Check-in,External Tourists Check-in,Total Tourists Check-in,Tourists Accommodation Facilities,Tourism Employees,Working Population,Percent of Pop working on Tourism,GDP Growth Rate,Percent of Tourism for Total GDP
2019,Germany,DE,145679435,39441607,185121042,50498,465000,44092806,0.011,0.006,0.107
2018,Germany,DE,140494471,38747698,179242169,50020,457000,43675006,0.01,0.013,0.107
2016,Germany,DE,130218849,35404924,165623773,50152,453000,42974232,0.011,0.022,0.107
2017,Germany,DE,135004792,37307331,172312123,50032,451000,43289875,0.01,0.026,0.107
2013,Germany,DE,117987824,31407471,149395295,51652,441000,42377103,0.01,0.004,0.104
2014,Germany,DE,122068364,32859540,154927904,50925,434000,42563746,0.01,0.022,0.106
2015,Germany,DE,126062735,34831012,160893747,50572,425000,42645337,0.01,0.015,0.107
2012,Germany,DE,116701525,30299258,147000783,52401,396000,42019848,0.009,0.004,0.106
2011,Germany,DE,113476253,28264456,141740709,53164,390000,41960932,0.009,0.039,0.106
2009,Germany,DE,103434669,24125057,127559726,53179,389000,41433382,0.009,-0.057,0.109
2019,Spain,ES,67280725,67728098,135008823,52894,383000,23033285,0.017,0.02,0.149
2018,Spain,ES,65032598,65771059,130803657,51418,382000,23013586,0.017,0.024,0.149
2017,Spain,ES,64159337,65233045,129392382,50518,380000,23074019,0.016,0.03,0.149
2010,Germany,DE,107776798,26764892,134541690,53532,374000,41519815,0.009,0.042,0.109
2016,Spain,ES,62199939,61341839,123541778,48701,368000,23178251,0.016,0.03,0.145
2011,Spain,ES,55430798,47652545,103083343,44397,340000,23742796,0.014,-0.008,0.135
2008,Germany,DE,105907463,24857752,130765215,53959,337000,41353616,0.008,0.01,0.109
2007,Germany,DE,103281137,24393108,127674245,53758,332000,41378878,0.008,0.03,0.111
2015,Spain,ES,59021796,55426615,114448411,48328,323000,23228487,0.014,0.038,0.141
2006,Germany,DE,101667384,23569145,125236529,54797,321000,41147181,0.008,0.038,0.117
2007,Spain,ES,57828280,43953113,101781393,37523,311000,22559465,0.014,0.036,0.137
2010,Spain,ES,55617853,43182778,98800631,41953,306000,23712289,0.013,0.002,0.133
2014,Spain,ES,55185879,52359130,107545009,47689,301000,23329165,0.013,0.014,0.141
2012,Spain,ES,52308531,48100647,100409178,45740,300000,23727707,0.013,-0.03,0.138
2008,Spain,ES,56429185,43718233,100147418,39002,299000,23130789,0.013,0.009,0.14
2009,Spain,ES,54470376,39204146,93674522,40754,296000,23444961,0.013,-0.038,0.136
2006,Spain,ES,56747094,43143517,99890611,36199,294000,22068549,0.013,0.041,0.14
2005,Germany,DE,99073807,21500067,120573874,55331,293000,40823332,0.007,0.007,0.118
2005,Spain,ES,50151920,37407150,87559070,34758,292000,21462307,0.014,0.037,0.15
2013,Spain,ES,51874205,49798884,101673089,46488,288000,23542444,0.012,-0.014,0.138
2004,Spain,ES,47437441,36297324,83734765,33068,276000,20696675,0.013,0.031,0.145
2001,Germany,DE,92917173,17945317,110862490,55881,274000,39894624,0.007,0.017,0.131
2003,Germany,DE,92055074,18381538,110436612,55119,274000,40201664,0.007,-0.007,0.119
2004,Germany,DE,96274438,20136979,116411417,55278,273000,40130309,0.007,0.012,0.119
2003,Spain,ES,43253850,36643766,79897616,31549,266000,20030717,0.013,0.03,0.14
2002,Germany,DE,91047728,17893501,108941229,55637,259000,39983589,0.006,-0.002,0.125
